date,region,category,units,revenue,returning_customer
2026-04-20,East,Home,12,942.83,false
2026-04-21,South,Home,18,524.07,false
2026-04-22,North,Home,16,611.49,false
2026-04-23,West,Essentials,6,530.98,true
2026-04-24,North,Essentials,13,807.75,true
2026-04-25,South,Essentials,15,484.38,false
2026-04-26,West,Home,7,268.28,false
2026-04-27,West,Home,9,694.11,false
2026-04-28,North,Home,1,29.49,true
2026-05-01,North,Essentials,2,55.1,true
2026-05-02,South,Essentials,20,436.9,true
2026-05-03,South,Home,19,1264.61,false
2026-05-04,North,Essentials,6,523.49,true
2026-05-05,North,Home,19,1081.33,false
2026-05-06,South,Essentials,13,756.39,true
2026-05-07,East,Technology,4,235.33,true
2026-05-08,North,Home,19,1017.53,false
2026-05-09,East,Essentials,3,234.8,false
2026-05-10,West,Home,4,246.3,false
2026-05-11,West,Essentials,5,346.18,false
2026-05-12,West,Home,20,919.5,false
2026-05-13,South,Essentials,11,371.32,false
2026-05-14,West,Technology,8,476.85,false
2026-05-15,North,Home,11,862.12,true
2026-05-16,South,Home,16,1187.69,false
2026-05-17,East,Technology,9,115.13,true
2026-05-18,South,Technology,3,131.1,true
2026-05-19,West,Home,16,1181.58,true
2026-05-20,South,Home,10,659.59,false
2026-05-21,East,Home,19,1048.25,false
2026-05-22,East,Home,14,935.52,false
2026-05-23,East,Essentials,10,214.11,true
2026-05-24,North,Technology,11,591.77,true
2026-05-25,South,Technology,7,348.37,false
2026-05-26,South,Home,4,118.97,true
2026-05-27,North,Technology,10,536.63,false
2026-05-28,North,Technology,2,69.57,true
2026-06-01,North,Essentials,16,908.43,false
2026-06-02,West,Home,16,422.09,true
2026-06-03,West,Essentials,9,685.13,false
2026-06-04,North,Technology,16,977.55,true
2026-06-05,South,Technology,5,430.16,true
2026-06-06,North,Technology,8,573.01,true
2026-06-07,West,Home,17,1408.68,false
2026-06-08,West,Home,19,1070.71,true
2026-06-09,North,Essentials,20,1215.8,false
2026-06-10,South,Essentials,3,76.67,true
2026-06-11,North,Home,6,282.84,false
2026-06-12,North,Essentials,10,344.72,false
2026-06-13,North,Technology,15,453.11,false
2026-06-14,South,Home,19,398.1,true
2026-06-15,East,Essentials,5,87.85,true
2026-06-16,East,Home,10,217.0,false
2026-06-17,East,Technology,13,703.54,false
2026-06-18,North,Home,3,207.88,false
2026-06-19,North,Essentials,1,87.03,true
2026-06-20,North,Essentials,9,438.29,false
2026-01-03,West,Essentials,19,272.16,true
2026-01-11,North,Essentials,10,795.86,false
2026-01-26,East,Technology,1,71.43,true
2026-02-13,North,Home,4,275.2,true
